Cat no.,Description,Colour,Price (Rs.)
C5736 .17,USB Charger Socket Outlet  A Type - 2.1 Amps. - 1 Module,Charcoal Black,3378
C5836 .17,USB Charger Socket Outlet C Type - 2.1 Amps. - 1 Module,Charcoal Black,3736
C5936 .17,USB Charger Socket Outlet A+C Type - 2.1 Amps. - 1 Module,Charcoal Black,4076
C5837 .17,USB Charger Socket Outlet C Type - 3.1 Amps. - 1 Module,Charcoal Black,4062
C5938 .17,USB Charger Socket Outlet A+C Type - 3.1 Amps. - 1 Module,Charcoal Black,4357
C5939 .17,USB Charger Socket Outlet C+C Type - 3.1 Amps. - 1 Module,Charcoal Black,4537
C5729 .17,Computer Monitor Output Socket - 1 Module,Charcoal Black,525
C5739 .17,HDMI Socket - 1 Module,Charcoal Black,2052
C5800 .17,Telephone Socket RJ-11 Double Line Shuttered - 1 Module,Charcoal Black,304
C5820 .17,Twin Telephone Socket RJ-11 - 1 Module,Charcoal Black,491
C5802 .17,Information Socket 6e - UTP Shuttered - 1 Module,Charcoal Black,1125
C5803 .17,Information Socket 6a - UTP Shuttered - 1 Module,Charcoal Black,1894
C5701 .17,Triple RCA Audio Visual Socket - 1 Module,Charcoal Black,1039
C5500 .17,Cord Outlet - 1 Module,Charcoal Black,231
C5700 .17,Blanking Plate - 1 Module,Charcoal Black,83
C5798 .17,Audio Port / Jack 3.5mm - 1 Module,Charcoal Black,602
C5809 .17,Fitment for RJ-45 Computer Socket Shuttered - 1 Module,Charcoal Black,339
P5111 .01,Plug Top 6A with LED indicator,Dark Gray,163
P5131 .01,Plug Top 16A with LED indicator,Dark Gray,237
P5151 .01,Plug Top 25A with LED indicator,Dark Gray,295
V5110 .01,Vertical Switches - 2 Gang - Both switches 6A 1 way - 2 Module,Frost White,390
V5111 .01,Vertical Switches - 2 Gang - Both switches 6A 1 way with indicator - 2 Module,Frost White,515
V5210 .01,Vertical Switches - 2 Gang - Both switches 6A 2 way - 2 Module,Frost White,472
V5211 .01,Vertical Switches - 2 Gang - Both switches 6A 2 way with indicator - 2 Module,Frost White,684
V5130 .01,Vertical Switches - 2 Gang - Both switches 16A 1 way - 2 Module,Frost White,558
V5131 .01,Vertical Switches - 2 Gang - Both switches 16A 1 way with indicator - 2 Module,Frost White,705
V5230 .01,Vertical Switches - 2 Gang - Both switches 16A 2 way - 2 Module,Frost White,590
V5231 .01,Vertical Switches - 2 Gang - Both switches 16A 2 way with indicator - 2 Module,Frost White,769
V5140 .01,Vertical Palm Switch 6A One-way Single Pole - 2 Module,Frost White,216
V5141 .01,Vertical Palm Switch 6A One-way Single Pole with indicator - 2 Module,Frost White,276
V5240 .01,Vertical Palm Switch 6A Two-way Single Pole - 2 Module,Frost White,245
V5241 .01,Vertical Palm Switch 6A Two-way Single Pole with indicator - 2 Module,Frost White,349
V5160 .01,Vertical Palm Switch 16A One-way Single Pole - 2 Module,Frost White,286
V5161 .01,Vertical Palm Switch 16A One-way Single Pole with indicator - 2 Module,Frost White,349
V5261 .01,Vertical Palm Switch 16A Two-way Single Pole with indicator - 2 Module,Frost White,407
V5180 .01,Vertical Palm Switch 6A One-way Double Pole - 2 Module,Frost White,397
V5281 .01,Vertical Palm Switch 6A Two-way Double Pole with indicator - 2 Module,Frost White,474
V5191 .01,Vertical Palm Switch 16A One-way Double Pole with indicator - 2 Module,Frost White,558
V5291 .01,Vertical Palm Switch 16A Two-way Double Pole with indicator - 2 Module,Frost White,664
V5171 .01,Vertical Palm Switch 25A One-way Double Pole with indicator - 2 Module,Frost White,667
V5340 .01,Vertical Palm Bell Switch Single Pole - 2 Module,Frost White,292
V5341 .01,Vertical Palm Bell Switch Single Pole with indicator - 2 Module,Frost White,382
V5110 .02,Vertical Switches - 2 Gang - Both switches 6A 1 way - 2 Module,Quartz Gray,490
V5111 .02,Vertical Switches - 2 Gang - Both switches 6A 1 way with indicator - 2 Module,Quartz Gray,642
V5210 .02,Vertical Switches - 2 Gang - Both switches 6A 2 way - 2 Module,Quartz Gray,589
V5211 .02,Vertical Switches - 2 Gang - Both switches 6A 2 way with indicator - 2 Module,Quartz Gray,838
V5130 .02,Vertical Switches - 2 Gang - Both switches 16A 1 way - 2 Module,Quartz Gray,693
V5131 .02,Vertical Switches - 2 Gang - Both switches 16A 1 way with indicator - 2 Module,Quartz Gray,878
V5230 .02,Vertical Switches - 2 Gang - Both switches 16A 2 way - 2 Module,Quartz Gray,733
V5231 .02,Vertical Switches - 2 Gang - Both switches 16A 2 way with indicator - 2 Module,Quartz Gray,958
V5140 .02,Vertical Palm Switch 6A One-way Single Pole - 2 Module,Quartz Gray,268
V5141 .02,Vertical Palm Switch 6A One-way Single Pole with indicator - 2 Module,Quartz Gray,344
V5240 .02,Vertical Palm Switch 6A Two-way Single Pole - 2 Module,Quartz Gray,303
V5241 .02,Vertical Palm Switch 6A Two-way Single Pole with indicator - 2 Module,Quartz Gray,434
V5160 .02,Vertical Palm Switch 16A One-way Single Pole - 2 Module,Quartz Gray,354
V5161 .02,Vertical Palm Switch 16A One-way Single Pole with indicator - 2 Module,Quartz Gray,434
V5261 .02,Vertical Palm Switch 16A Two-way Single Pole with indicator - 2 Module,Quartz Gray,509
V5180 .02,Vertical Palm Switch 6A One-way Double Pole - 2 Module,Quartz Gray,493
V5281 .02,Vertical Palm Switch 6A Two-way Double Pole with indicator - 2 Module,Quartz Gray,589
V5191 .02,Vertical Palm Switch 16A One-way Double Pole with indicator - 2 Module,Quartz Gray,695
V5291 .02,Vertical Palm Switch 16A Two-way Double Pole with indicator - 2 Module,Quartz Gray,827
V5171 .02,Vertical Palm Switch 25A One-way Double Pole with indicator - 2 Module,Quartz Gray,829
V5340 .02,Vertical Palm Bell Switch Single Pole - 2 Module,Quartz Gray,363
V5341 .02,Vertical Palm Bell Switch Single Pole with indicator - 2 Module,Quartz Gray,472
V5110 .17,Vertical Switches - 2 Gang - Both switches 6A 1 way - 2 Module,Charcoal Black,529
V5111 .17,Vertical Switches - 2 Gang - Both switches 6A 1 way with indicator - 2 Module,Charcoal Black,700
V5210 .17,Vertical Switches - 2 Gang - Both switches 6A 2 way - 2 Module,Charcoal Black,645
V5211 .17,Vertical Switches - 2 Gang - Both switches 6A 2 way with indicator - 2 Module,Charcoal Black,932
V5130 .17,Vertical Switches - 2 Gang - Both switches 16A 1 way - 2 Module,Charcoal Black,762
V5131 .17,Vertical Switches - 2 Gang - Both switches 16A 1 way with indicator - 2 Module,Charcoal Black,958
V5230 .17,Vertical Switches - 2 Gang - Both switches 16A 2 way - 2 Module,Charcoal Black,804
V5231 .17,Vertical Switches - 2 Gang - Both switches 16A 2 way with indicator - 2 Module,Charcoal Black,1047
V5140 .17,Vertical Palm Switch 6A One-way Single Pole - 2 Module,Charcoal Black,293
V5141 .17,Vertical Palm Switch 6A One-way Single Pole with indicator - 2 Module,Charcoal Black,376
V5240 .17,Vertical Palm Switch 6A Two-way Single Pole - 2 Module,Charcoal Black,333
V5241 .17,Vertical Palm Switch 6A Two-way Single Pole with indicator - 2 Module,Charcoal Black,475
V5160 .17,Vertical Palm Switch 16A One-way Single Pole - 2 Module,Charcoal Black,387
V5161 .17,Vertical Palm Switch 16A One-way Single Pole with indicator - 2 Module,Charcoal Black,475
V5261 .17,Vertical Palm Switch 16A Two-way Single Pole with indicator - 2 Module,Charcoal Black,554
V5180 .17,Vertical Palm Switch 6A One-way Double Pole - 2 Module,Charcoal Black,540
V5281 .17,Vertical Palm Switch 6A Two-way Double Pole with indicator - 2 Module,Charcoal Black,643
V5191 .17,Vertical Palm Switch 16A One-way Double Pole with indicator - 2 Module,Charcoal Black,759
V5291 .17,Vertical Palm Switch 16A Two-way Double Pole with indicator - 2 Module,Charcoal Black,903
V5171 .17,Vertical Palm Switch 25A One-way Double Pole with indicator - 2 Module,Charcoal Black,906
V5340 .17,Vertical Palm Bell Switch Single Pole - 2 Module,Charcoal Black,397
V5341 .17,Vertical Palm Bell Switch Single Pole with indicator - 2 Module,Charcoal Black,518
V5900 .01,Vertical Fan Regulator for 80W fan - Step Type with Bar Knob - 2 Module,Frost White,1076
V5901 .01,Vertical Fan Regulator for 80W fan - Step Type with Round Knob - 2 Module,Frost White,1031
V5910 .01,Vertical Fan Regulator for 120W fan - Step Type with Bar Knob - 2 Module,Frost White,1183
V5911 .01,Vertical Fan Regulator for 120W fan - Step Type with Round Knob - 2 Module,Frost White,1140
V5912 .01,Vertical Fan Regulator for 120W fan - 8-Step Type with Bar Knob - 2 Module,Frost White,1208
V5913 .01,Vertical Fan Regulator for 120W fan - 8-Step Type with Round Knob - 2 Module,Frost White,1164
V5902 .01,Vertical Dimmer 500 Watts - 2 Module,Frost White,864
V5900 .02,Vertical Fan Regulator for 80W fan - Step Type with Bar Knob - 2 Module,Quartz Gray,1329
V5901 .02,Vertical Fan Regulator for 80W fan - Step Type with Round Knob - 2 Module,Quartz Gray,1268
V5910 .02,Vertical Fan Regulator for 120W fan - Step Type with Bar Knob - 2 Module,Quartz Gray,1460
V5911 .02,Vertical Fan Regulator for 120W fan - Step Type with Round Knob - 2 Module,Quartz Gray,1406
V5912 .02,Vertical Fan Regulator for 120W fan - 8-Step Type with Bar Knob - 2 Module,Quartz Gray,1488
V5913 .02,Vertical Fan Regulator for 120W fan - 8-Step Type with Round Knob - 2 Module,Quartz Gray,1435
V5902 .02,Vertical Dimmer 500 Watts - 2 Module,Quartz Gray,1067
V5900 .17,Vertical Fan Regulator for 80W fan - Step Type with Bar Knob - 2 Module,Charcoal Black,1464
V5901 .17,Vertical Fan Regulator for 80W fan - Step Type with Round Knob - 2 Module,Charcoal Black,1403
V5910 .17,Vertical Fan Regulator for 120W fan - Step Type with Bar Knob - 2 Module,Charcoal Black,1609
V5911 .17,Vertical Fan Regulator for 120W fan - Step Type with Round Knob - 2 Module,Charcoal Black,1552
V5912 .17,Vertical Fan Regulator for 120W fan - 8-Step Type with Bar Knob - 2 Module,Charcoal Black,1643
V5913 .17,Vertical Fan Regulator for 120W fan - 8-Step Type with Round Knob - 2 Module,Charcoal Black,1581
V5902 .17,Vertical Dimmer 500 Watts - 2 Module,Charcoal Black,1177
C5101 .01,1M Plate - for 75mm x 75mm box (3x3),Frost White,159
C5102 .01,2M Plate - for 75mm x 75mm box (3x3),Frost White,168
C5103 .01,3M Plate - for 100mm x 75mm box (4x3),Frost White,183
C5104 .01,4M Plate - for 135mm x 75mm box (5x3),Frost White,195
C5106 .01,6M Plate - for 210mm x 75mm box (8x3),Frost White,348
C5108 .01,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Frost White,385
C5109 .01,8M (V) Plate - for 135mm x 140mm box (5x5),Frost White,449
C5112 .01,12M Plate - for 140mm x 210mm box (8x6),Frost White,545
C5114 .01,14M Plate - for 140mm x 210mm box (8x6),Frost White,623
C5121 .01,21M Plate - for 210mm x 210mm box (8x8),Frost White,787
C5101 .02,1M Plate - for 75mm x 75mm box (3x3),Quartz Gray,251
C5102 .02,2M Plate - for 75mm x 75mm box (3x3),Quartz Gray,264
C5103 .02,3M Plate - for 100mm x 75mm box (4x3),Quartz Gray,288
C5104 .02,4M Plate - for 135mm x 75mm box (5x3),Quartz Gray,308
C5106 .02,6M Plate - for 210mm x 75mm box (8x3),Quartz Gray,555
C5108 .02,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Quartz Gray,611
C5109 .02,8M (V) Plate - for 135mm x 140mm box (5x5),Quartz Gray,712
C5112 .02,12M Plate - for 140mm x 210mm box (8x6),Quartz Gray,865
C5114 .02,14M Plate - for 140mm x 210mm box (8x6),Quartz Gray,996
C5121 .02,21M Plate - for 210mm x 210mm box (8x8),Quartz Gray,1443
C5101 .03,1M Plate - for 75mm x 75mm box (3x3),Ice Silver ,251
C5102 .03,2M Plate - for 75mm x 75mm box (3x3),Ice Silver ,264
C5103 .03,3M Plate - for 100mm x 75mm box (4x3),Ice Silver ,288
C5104 .03,4M Plate - for 135mm x 75mm box (5x3),Ice Silver ,308
C5106 .03,6M Plate - for 210mm x 75mm box (8x3),Ice Silver ,555
C5108 .03,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Ice Silver ,611
C5109 .03,8M (V) Plate - for 135mm x 140mm box (5x5),Ice Silver ,712
C5112 .03,12M Plate - for 140mm x 210mm box (8x6),Ice Silver ,865
C5114 .03,14M Plate - for 140mm x 210mm box (8x6),Ice Silver ,996
C5121 .03,21M Plate - for 210mm x 210mm box (8x8),Ice Silver ,1443
C5101 .16,1M Plate - for 75mm x 75mm box (3x3),Matt Gold,301
C5102 .16,2M Plate - for 75mm x 75mm box (3x3),Matt Gold,318
C5103 .16,3M Plate - for 100mm x 75mm box (4x3),Matt Gold,346
C5104 .16,4M Plate - for 135mm x 75mm box (5x3),Matt Gold,370
C5106 .16,6M Plate - for 210mm x 75mm box (8x3),Matt Gold,666
C5108 .16,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Matt Gold,734
C5109 .16,8M (V) Plate - for 135mm x 140mm box (5x5),Matt Gold,854
C5112 .16,12M Plate - for 140mm x 210mm box (8x6),Matt Gold,1038
C5114 .16,14M Plate - for 140mm x 210mm box (8x6),Matt Gold,1196
C5121 .16,21M Plate - for 210mm x 210mm box (8x8),Matt Gold,1732
C5101 .17,1M Plate - for 75mm x 75mm box (3x3),Charcoal Black,304
C5102 .17,2M Plate - for 75mm x 75mm box (3x3),Charcoal Black,320
C5103 .17,3M Plate - for 100mm x 75mm box (4x3),Charcoal Black,349
C5104 .17,4M Plate - for 135mm x 75mm box (5x3),Charcoal Black,373
C5106 .17,6M Plate - for 210mm x 75mm box (8x3),Charcoal Black,673
C5108 .17,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Charcoal Black,740
C5109 .17,8M (V) Plate - for 135mm x 140mm box (5x5),Charcoal Black,861
C5112 .17,12M Plate - for 140mm x 210mm box (8x6),Charcoal Black,1048
C5114 .17,14M Plate - for 140mm x 210mm box (8x6),Charcoal Black,1206
C5121 .17,21M Plate - for 210mm x 210mm box (8x8),Charcoal Black,1747
C5101 .25,1M Plate - for 75mm x 75mm box (3x3),Cocoa Brown,304
C5102 .25,2M Plate - for 75mm x 75mm box (3x3),Cocoa Brown,320
C5103 .25,3M Plate - for 100mm x 75mm box (4x3),Cocoa Brown,349
C5104 .25,4M Plate - for 135mm x 75mm box (5x3),Cocoa Brown,373
C5106 .25,6M Plate - for 210mm x 75mm box (8x3),Cocoa Brown,673
C5108 .25,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Cocoa Brown,740
C5109 .25,8M (V) Plate - for 135mm x 140mm box (5x5),Cocoa Brown,861
C5112 .25,12M Plate - for 140mm x 210mm box (8x6),Cocoa Brown,1048
C5114 .25,14M Plate - for 140mm x 210mm box (8x6),Cocoa Brown,1206
C5121 .25,21M Plate - for 210mm x 210mm box (8x8),Cocoa Brown,1747
C5401 .01,1M Plate - for 75mm x 75mm box (3x3),Frost White,173
C5402 .01,2M Plate - for 75mm x 75mm box (3x3),Frost White,180
C5403 .01,3M Plate - for 100mm x 75mm box (4x3),Frost White,197
C5404 .01,4M Plate - for 135mm x 75mm box (5x3),Frost White,210
C5406 .01,6M Plate - for 210mm x 75mm box (8x3),Frost White,379
C5408 .01,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Frost White,416
C5409 .01,8M (V) Plate - for 135mm x 140mm box (5x5),Frost White,485
C5412 .01,12M Plate - for 140mm x 210mm box (8x6),Frost White,592
C5414 .01,14M Plate - for 140mm x 210mm box (8x6),Frost White,689
C5416 .01,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Frost White,725
C5421 .01,21M Plate - for 210mm x 210mm box (8x8),Frost White,870
C5401 .02,1M Plate - for 75mm x 75mm box (3x3),Quartz Gray,263
C5402 .02,2M Plate - for 75mm x 75mm box (3x3),Quartz Gray,277
C5403 .02,3M Plate - for 100mm x 75mm box (4x3),Quartz Gray,305
C5404 .02,4M Plate - for 135mm x 75mm box (5x3),Quartz Gray,324
C5406 .02,6M Plate - for 210mm x 75mm box (8x3),Quartz Gray,583
C5408 .02,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Quartz Gray,642
C5409 .02,8M (V) Plate - for 135mm x 140mm box (5x5),Quartz Gray,747
C5412 .02,12M Plate - for 140mm x 210mm box (8x6),Quartz Gray,909
C5414 .02,14M Plate - for 140mm x 210mm box (8x6),Quartz Gray,1060
C5416 .02,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Quartz Gray,1116
C5421 .02,21M Plate - for 210mm x 210mm box (8x8),Quartz Gray,1537
C5401 .03,1M Plate - for 75mm x 75mm box (3x3),Ice Silver,263
C5402 .03,2M Plate - for 75mm x 75mm box (3x3),Ice Silver,277
C5403 .03,3M Plate - for 100mm x 75mm box (4x3),Ice Silver,305
C5404 .03,4M Plate - for 135mm x 75mm box (5x3),Ice Silver,324
C5406 .03,6M Plate - for 210mm x 75mm box (8x3),Ice Silver,583
C5408 .03,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Ice Silver,642
C5409 .03,8M (V) Plate - for 135mm x 140mm box (5x5),Ice Silver,747
C5412 .03,12M Plate - for 140mm x 210mm box (8x6),Ice Silver,909
C5414 .03,14M Plate - for 140mm x 210mm box (8x6),Ice Silver,1060
C5416 .03,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Ice Silver,1116
C5421 .03,21M Plate - for 210mm x 210mm box (8x8),Ice Silver,1537
C5401 .16,1M Plate - for 75mm x 75mm box (3x3),Matt Gold,316
C5402 .16,2M Plate - for 75mm x 75mm box (3x3),Matt Gold,352
C5403 .16,3M Plate - for 100mm x 75mm box (4x3),Matt Gold,377
C5404 .16,4M Plate - for 135mm x 75mm box (5x3),Matt Gold,408
C5406 .16,6M Plate - for 210mm x 75mm box (8x3),Matt Gold,700
C5408 .16,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Matt Gold,772
C5409 .16,8M (V) Plate - for 135mm x 140mm box (5x5),Matt Gold,896
C5412 .16,12M Plate - for 140mm x 210mm box (8x6),Matt Gold,1091
C5414 .16,14M Plate - for 140mm x 210mm box (8x6),Matt Gold,1273
C5416 .16,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Matt Gold,1341
C5421 .16,21M Plate - for 210mm x 210mm box (8x8),Matt Gold,1844
C5401 .17,1M Plate - for 75mm x 75mm box (3x3),Charcoal Black,324
C5402 .17,2M Plate - for 75mm x 75mm box (3x3),Charcoal Black,364
C5403 .17,3M Plate - for 100mm x 75mm box (4x3),Charcoal Black,395
C5404 .17,4M Plate - for 135mm x 75mm box (5x3),Charcoal Black,425
C5406 .17,6M Plate - for 210mm x 75mm box (8x3),Charcoal Black,726
C5408 .17,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Charcoal Black,783
C5409 .17,8M (V) Plate - for 135mm x 140mm box (5x5),Charcoal Black,944
C5412 .17,12M Plate - for 140mm x 210mm box (8x6),Charcoal Black,1128
C5414 .17,14M Plate - for 140mm x 210mm box (8x6),Charcoal Black,1298
C5416 .17,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Charcoal Black,1418
C5421 .17,21M Plate - for 210mm x 210mm box (8x8),Charcoal Black,1940
C5401 .25,1M Plate - for 75mm x 75mm box (3x3),Cocoa Brown,324
C5402 .25,2M Plate - for 75mm x 75mm box (3x3),Cocoa Brown,364
C5403 .25,3M Plate - for 100mm x 75mm box (4x3),Cocoa Brown,395
C5404 .25,4M Plate - for 135mm x 75mm box (5x3),Cocoa Brown,425
C5406 .25,6M Plate - for 210mm x 75mm box (8x3),Cocoa Brown,726
C5408 .25,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Cocoa Brown,783
C5409 .25,8M (V) Plate - for 135mm x 140mm box (5x5),Cocoa Brown,944
C5412 .25,12M Plate - for 140mm x 210mm box (8x6),Cocoa Brown,1128
C5414 .25,14M Plate - for 140mm x 210mm box (8x6),Cocoa Brown,1298
C5416 .25,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Cocoa Brown,1418
C5421 .25,21M Plate - for 210mm x 210mm box (8x8),Cocoa Brown,1940
C6401 .01,1M Plate - for 75mm x 75mm box (3x3),Frost White,236
C6402 .01,2M Plate - for 75mm x 75mm box (3x3),Frost White,250
C6403 .01,3M Plate - for 100mm x 75mm box (4x3),Frost White,277
C6404 .01,4M Plate - for 135mm x 75mm box (5x3),Frost White,295
C6406 .01,6M Plate - for 210mm x 75mm box (8x3),Frost White,531
C6408 .01,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Frost White,591
C6409 .01,8M (V) Plate - for 135mm x 140mm box (5x5),Frost White,785
C6412 .01,12M Plate - for 140mm x 210mm box (8x6),Frost White,907
C6414 .01,14M Plate - for 140mm x 210mm box (8x6),Frost White,1070
C6416 .01,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Frost White,1198
C6421 .01,21M Plate - for 210mm x 210mm box (8x8),Frost White,1371
C6401 .02,1M Plate - for 75mm x 75mm box (3x3),Quartz Gray,421
C6402 .02,2M Plate - for 75mm x 75mm box (3x3),Quartz Gray,458
C6403 .02,3M Plate - for 100mm x 75mm box (4x3),Quartz Gray,506
C6404 .02,4M Plate - for 135mm x 75mm box (5x3),Quartz Gray,538
C6406 .02,6M Plate - for 210mm x 75mm box (8x3),Quartz Gray,972
C6408 .02,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Quartz Gray,1078
C6409 .02,8M (V) Plate - for 135mm x 140mm box (5x5),Quartz Gray,1391
C6412 .02,12M Plate - for 140mm x 210mm box (8x6),Quartz Gray,1663
C6414 .02,14M Plate - for 140mm x 210mm box (8x6),Quartz Gray,1956
C6416 .02,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Quartz Gray,2196
C6421 .02,21M Plate - for 210mm x 210mm box (8x8),Quartz Gray,2524
C6401 .03,1M Plate - for 75mm x 75mm box (3x3),Ice Silver,421
C6402 .03,2M Plate - for 75mm x 75mm box (3x3),Ice Silver,458
C6403 .03,3M Plate - for 100mm x 75mm box (4x3),Ice Silver,506
C6404 .03,4M Plate - for 135mm x 75mm box (5x3),Ice Silver,538
C6406 .03,6M Plate - for 210mm x 75mm box (8x3),Ice Silver,972
C6408 .03,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Ice Silver,1078
C6409 .03,8M (V) Plate - for 135mm x 140mm box (5x5),Ice Silver,1391
C6412 .03,12M Plate - for 140mm x 210mm box (8x6),Ice Silver,1663
C6414 .03,14M Plate - for 140mm x 210mm box (8x6),Ice Silver,1956
C6416 .03,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Ice Silver,2196
C6421 .03,21M Plate - for 210mm x 210mm box (8x8),Ice Silver,2524
C6401 .16,1M Plate - for 75mm x 75mm box (3x3),Matt Gold,507
C6402 .16,2M Plate - for 75mm x 75mm box (3x3),Matt Gold,581
C6403 .16,3M Plate - for 100mm x 75mm box (4x3),Matt Gold,628
C6404 .16,4M Plate - for 135mm x 75mm box (5x3),Matt Gold,676
C6406 .16,6M Plate - for 210mm x 75mm box (8x3),Matt Gold,1168
C6408 .16,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Matt Gold,1295
C6409 .16,8M (V) Plate - for 135mm x 140mm box (5x5),Matt Gold,1670
C6412 .16,12M Plate - for 140mm x 210mm box (8x6),Matt Gold,1997
C6414 .16,14M Plate - for 140mm x 210mm box (8x6),Matt Gold,2348
C6416 .16,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Matt Gold,2639
C6421 .16,21M Plate - for 210mm x 210mm box (8x8),Matt Gold,3030
C6401 .17,1M Plate - for 75mm x 75mm box (3x3),Charcoal Black,523
C6402 .17,2M Plate - for 75mm x 75mm box (3x3),Charcoal Black,602
C6403 .17,3M Plate - for 100mm x 75mm box (4x3),Charcoal Black,656
C6404 .17,4M Plate - for 135mm x 75mm box (5x3),Charcoal Black,704
C6406 .17,6M Plate - for 210mm x 75mm box (8x3),Charcoal Black,1212
C6408 .17,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Charcoal Black,1314
C6409 .17,8M (V) Plate - for 135mm x 140mm box (5x5),Charcoal Black,1761
C6412 .17,12M Plate - for 140mm x 210mm box (8x6),Charcoal Black,2063
C6414 .17,14M Plate - for 140mm x 210mm box (8x6),Charcoal Black,2394
C6416 .17,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Charcoal Black,2792
C6421 .17,21M Plate - for 210mm x 210mm box (8x8),Charcoal Black,3186
C6401 .25,1M Plate - for 75mm x 75mm box (3x3),Cocoa Brown,523
C6402 .25,2M Plate - for 75mm x 75mm box (3x3),Cocoa Brown,602
C6403 .25,3M Plate - for 100mm x 75mm box (4x3),Cocoa Brown,656
C6404 .25,4M Plate - for 135mm x 75mm box (5x3),Cocoa Brown,704
C6406 .25,6M Plate - for 210mm x 75mm box (8x3),Cocoa Brown,1212
C6408 .25,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Cocoa Brown,1314
C6409 .25,8M (V) Plate - for 135mm x 140mm box (5x5),Cocoa Brown,1761
C6412 .25,12M Plate - for 140mm x 210mm box (8x6),Cocoa Brown,2063
C6414 .25,14M Plate - for 140mm x 210mm box (8x6),Cocoa Brown,2394
C6416 .25,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Cocoa Brown,2792
C6421 .25,21M Plate - for 210mm x 210mm box (8x8),Cocoa Brown,3186
C6401 .26,1M Plate - for 75mm x 75mm box (3x3),Silver Dust,523
C6402 .26,2M Plate - for 75mm x 75mm box (3x3),Silver Dust,602
C6403 .26,3M Plate - for 100mm x 75mm box (4x3),Silver Dust,656
C6404 .26,4M Plate - for 135mm x 75mm box (5x3),Silver Dust,704
C6406 .26,6M Plate - for 210mm x 75mm box (8x3),Silver Dust,1212
C6408 .26,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Silver Dust,1314
C6409 .26,8M (V) Plate - for 135mm x 140mm box (5x5),Silver Dust,1761
C6412 .26,12M Plate - for 140mm x 210mm box (8x6),Silver Dust,2063
C6414 .26,14M Plate - for 140mm x 210mm box (8x6),Silver Dust,2394
C6416 .26,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Silver Dust,2792
C6421 .26,21M Plate - for 210mm x 210mm box (8x8),Silver Dust,3186
CA301 .04,1M Plate - for 75mm x 75mm box (3x3),Natural,1902
CA302 .04,2M Plate - for 75mm x 75mm box (3x3),Natural,1929
CA303 .04,3M Plate - for 100mm x 75mm box (4x3),Natural,2046
CA304 .04,4M Plate - for 135mm x 75mm box (5x3),Natural,2298
CA306 .04,6M Plate - for 210mm x 75mm box (8x3),Natural,2516
CA308 .04,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Natural,2725
CA309 .04,8M (V) Plate - for 135mm x 140mm box (5x5),Natural,4960
CA312 .04,12M Plate - for 140mm x 210mm box (8x6),Natural,6238
CA314 .04,14M Plate - for 140mm x 210mm box (8x6),Natural,6786
CA316 .04,16M Plate - for 230mm x 145mm box (10x6 or 9x6),Natural,10152
CA321 .04,21M Plate - for 210mm x 210mm box (8x8),Natural,13484
CA301 .05,1M Plate - for 75mm x 75mm box (3x3),Black,1902
CA302 .05,2M Plate - for 75mm x 75mm box (3x3),Black,1929
CA303 .05,3M Plate - for 100mm x 75mm box (4x3),Black,2046
CA304 .05,4M Plate - for 135mm x 75mm box (5x3),Black,2298
CA306 .05,6M Plate - for 210mm x 75mm box (8x3),Black,2516
CA308 .05,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Black,2725
CA309 .05,8M (V) Plate - for 135mm x 140mm box (5x5),Black,4960
CA312 .05,12M Plate - for 140mm x 210mm box (8x6),Black,6238
CA314 .05,14M Plate - for 140mm x 210mm box (8x6),Black,6786
