Cat no.,Description,Colour,Price (Rs.)
C5180 .17,Palm Switch 6A One-way Double Pole - 2 Module,Charcoal Black,540
C5280 .17,Palm Switch 6A Two-way Double Pole - 2 Module,Charcoal Black,576
C5281 .17,Palm Switch 6A Two-way Double Pole with indicator - 2 Module,Charcoal Black,637
C5191 .17,Palm Switch 16A One-way Double Pole with indicator - 2 Module,Charcoal Black,752
C5291 .17,Palm Switch 16A Two-way Double Pole with indicator - 2 Module,Charcoal Black,894
C5171 .17,Palm Switch 25A One-way Double Pole with indicator - 2 Module,Charcoal Black,897
C5340 .17,Palm Bell Switch Single Pole - 2 Module,Charcoal Black,397
C5341 .17,Palm Bell Switch Single Pole with indicator - 2 Module,Charcoal Black,513
C5441 .17,Switch 16A One-way with ‘Geyser’ Symbol with indicator - 1 Module,Charcoal Black,492
C5431 .17,Switch 6A One-way with ‘Fan’ or ‘Light’ or 'Exhaust' Symbol - 1 Module,Charcoal Black,373
C5110 .20,Switch 6A One-way - 1 Module,Scarlet Red,257
C5111 .20,Switch 6A One-way with indicator - 1 Module,Scarlet Red,362
C5131 .20,Switch 16A One-way with indicator - 1 Module,Scarlet Red,489
C5731 .20,Switch 25A One-way with indicator - 1 Module,Scarlet Red,636
C5171 .20,Palm Switch 25A One-way Double Pole with indicator - 2 Module,Scarlet Red,897
C2110 .01,Twin Switch 6A - 2 Gang - Both switches 1 way - 1 Module,Frost White,498
C2111 .01,Twin Switch 6A - 2 Gang - Both Switches 1 way with indicator - 1 Module,Frost White,730
C2010 .01,Twin Switch 6A - 1 Gang - 2 way + Dummy - 1 Module,Frost White,553
C2011 .01,Twin Switch 6A - 1 Gang - 2 way with indicator + Dummy - 1 Module,Frost White,771
C2130 .01,Twin Switch 16A - 2 Gang - Both switches 1 way - 1 Module,Frost White,797
C2131 .01,Twin Switch 16A - 2 Gang - Both switches 1 way with indicator - 1 Module,Frost White,1002
C2030 .01,Twin Switch 16A - 1 Gang - 2 way + Dummy - 1 Module,Frost White,755
C2031 .01,Twin Switch 16A - 1 Gang - 2 way with indicator + Dummy - 1 Module,Frost White,968
C2140 .01,Twin Switch 6A - 2 Gang - Both Switches Bell - 1 Module,Frost White,756
C2141 .01,Twin Switch 6A - 2 Gang - Both Switches Bell with Indicator - 1 Module,Frost White,998
C2040 .01,Twin Switch 6A - 1 Gang - 1 Bell + 1 Dummy - 1 Module,Frost White,609
C2041 .01,Twin Switch 6A - 1 Gang - 1 Bell with Indicator + 1 Dummy - 1 Module,Frost White,797
C2110 .02,Twin Switch 6A - 2 Gang - Both switches 1 way - 1 Module,Quartz Gray,614
C2111 .02,Twin Switch 6A - 2 Gang - Both Switches 1 way with indicator - 1 Module,Quartz Gray,954
C2010 .02,Twin Switch 6A - 1 Gang - 2 way + Dummy - 1 Module,Quartz Gray,711
C2011 .02,Twin Switch 6A - 1 Gang - 2 way with indicator + Dummy - 1 Module,Quartz Gray,993
C2130 .02,Twin Switch 16A - 2 Gang - Both switches 1 way - 1 Module,Quartz Gray,1029
C2131 .02,Twin Switch 16A - 2 Gang - Both switches 1 way with indicator - 1 Module,Quartz Gray,1284
C2030 .02,Twin Switch 16A - 1 Gang - 2 way + Dummy - 1 Module,Quartz Gray,972
C2031 .02,Twin Switch 16A - 1 Gang - 2 way with indicator + Dummy - 1 Module,Quartz Gray,1248
C2140 .02,Twin Switch 6A - 2 Gang - Both Switches Bell - 1 Module,Quartz Gray,967
C2141 .02,Twin Switch 6A - 2 Gang - Both Switches Bell with Indicator - 1 Module,Quartz Gray,1278
C2040 .02,Twin Switch 6A - 1 Gang - 1 Bell + 1 Dummy - 1 Module,Quartz Gray,779
C2041 .02,Twin Switch 6A - 1 Gang - 1 Bell with Indicator + 1 Dummy - 1 Module,Quartz Gray,1020
C2110 .17,Twin Switch 6A - 2 Gang - Both switches 1 way - 1 Module,Charcoal Black,667
C2111 .17,Twin Switch 6A - 2 Gang - Both Switches 1 way with indicator - 1 Module,Charcoal Black,1032
C2010 .17,Twin Switch 6A - 1 Gang - 2 way + Dummy - 1 Module,Charcoal Black,768
C2011 .17,Twin Switch 6A - 1 Gang - 2 way with indicator + Dummy - 1 Module,Charcoal Black,1078
C2130 .17,Twin Switch 16A - 2 Gang - Both switches 1 way - 1 Module,Charcoal Black,1109
C2131 .17,Twin Switch 16A - 2 Gang - Both switches 1 way with indicator - 1 Module,Charcoal Black,1391
C2030 .17,Twin Switch 16A - 1 Gang - 2 way + Dummy - 1 Module,Charcoal Black,1052
C2031 .17,Twin Switch 16A - 1 Gang - 2 way with indicator + Dummy - 1 Module,Charcoal Black,1329
C2140 .17,Twin Switch 6A - 2 Gang - Both Switches Bell - 1 Module,Charcoal Black,1043
C2141 .17,Twin Switch 6A - 2 Gang - Both Switches Bell with Indicator - 1 Module,Charcoal Black,1378
C2040 .17,Twin Switch 6A - 1 Gang - 1 Bell + 1 Dummy - 1 Module,Charcoal Black,840
C2041 .17,Twin Switch 6A - 1 Gang - 1 Bell with Indicator + 1 Dummy - 1 Module,Charcoal Black,1099
C5213 .01,Socket 6A 3-Pin-only Shuttered - 2 Module,Frost White,307
C5332 .01,Socket 16A and 6A 3-Pin Shuttered - 2 Module,Frost White,430
C5552 .01,Socket 16A and 6A 3-Pin Shuttered - 3 Module,Frost White,493
C5331 .01,Socket 16A 3-Pin-only Shuttered - 2 Module,Frost White,402
C5212 .01,Socket 6A 3+2 Pin [Round & Flat] Shuttered - 2 Module,Frost White,347
C5010 .01,Socket 6A 2 Pin [Round & Flat] - 1 Module,Frost White,235
